tic,score,vol20,off_lo60,mom20,volsurge,liq,px,r_hari,ara_60h
CSIS,0.3817829457364341,0.028476214073314517,0.2985851054816573,-0.11480287627076613,0.24183339733495643,375250900.0,204.0,-0.009708737864077666,0
PGAS,0.3814599483204134,0.012494282360957898,0.027916222072315477,-0.019826436706232076,2.1088261214593627,43884225000.0,1475.0,-0.013377926421404673,0
CITA,0.38016795865633074,0.013583468856563995,0.14694970389656903,0.07092225609756153,0.30077352143326425,531207000.0,3480.0,-0.005714285714285672,0
MIDI,0.37790697674418605,0.013564784803134135,0.06909779686797424,0.0144880174291937,0.862394846634876,2427276100.0,268.0,0.0,0
CGAS,0.3772609819121447,0.012100937016214914,0.10268936341659995,-0.013071895424836666,1.0544196172813705,550971350.0,151.0,0.01342281879194629,0
ICBP,0.37693798449612403,0.012711378631530724,0.10059506531204732,-0.06224030470914099,1.7588604361247016,28142696250.0,6900.0,-0.007194244604316502,0
RAAM,0.37677648578811374,0.019974261605209803,0.0,-0.09844559585492274,6.934779037538305,200580450.0,174.0,-0.011363636363636354,0
BNBA,0.3766149870801033,0.02657521213174928,0.03363189322093452,-0.042298970870399355,0.8313214065196117,283828250.0,790.0,-0.03658536585365857,0
GIAA,0.3766149870801033,0.03060288397182307,0.20093978419770275,-0.20931174089068838,0.4614301486211187,8118358350.0,62.0,-0.015873015873015928,0
MERK,0.375,0.006107050248545791,0.11566810187550125,0.018154694513632608,0.8706428650191744,81619000.0,3900.0,-0.002557544757033292,0
BJBR,0.375,0.012483670536998219,0.0002953586497893568,-0.05035250761095955,37.26100398145332,1629995250.0,755.0,-0.05031446540880502,0
AWAN,0.37467700258397935,0.020728869503004062,0.145967640787658,-0.06459761818837984,0.7144571241797906,71132750.0,162.0,0.0,0
GDYR,0.3746770025839793,0.012222777944736814,0.06175094830490524,-0.008928571428571064,1.2702863961813842,7542000.0,1110.0,-0.013333333333333308,0
BKSW,0.374515503875969,0.021867774019460554,0.0,-0.03846153846153877,1.5612316969122615,125938450.0,50.0,-0.019607843137254943,0
EXCL,0.37435400516795864,0.01964564346253352,0.009964987880420217,-0.14513677811550152,6.267477055841941,14621205500.0,2500.0,-0.03100775193798455,0
WOWS,0.37322351421188626,0.03904028181125114,0.0,-0.1166666666666667,1.1019103568332476,1962091550.0,53.0,-0.0535714285714286,0
TCPI,0.37290051679586567,0.061559393703225794,0.0,-0.5881096028154853,1.0555016138767155,9955453750.0,1450.0,-0.14956011730205276,0
TYRE,0.37273901808785526,0.018650805709696423,0.088322054485511,-0.008849557522124019,0.6636098946297706,146483500.0,112.0,0.0,0
ASHA,0.3722545219638243,0.02560286092427465,0.0,-0.19396551724137934,3.4604151692896052,1134970750.0,51.0,-0.07272727272727275,0
LAND,0.37209302325581395,0.023860548413747,0.07119397878891554,-0.10450450450450455,1.089673246340862,1057076150.0,70.0,-0.04109589041095896,1
KDTN,0.37144702842377264,0.0297996574149393,0.21146953405017865,-0.07666376053472868,0.1965862648031143,1918608100.0,376.0,0.005347593582887722,1
BMTR,0.3714470284237726,0.022457248708632686,0.01778025186279608,-0.00015525539512450948,0.710235912783416,6850919550.0,115.0,-0.008620689655172376,0
BNLI,0.37112403100775193,0.00856303541072855,0.01449275362318847,-0.004739336492890711,2.11294990569322,96228500.0,2100.0,0.01449275362318847,0
PANS,0.36918604651162795,0.0068495249375801065,0.09748113856513085,0.054301552785519513,0.7140411209768551,255964250.0,1655.0,0.0,0
PBID,0.36660206718346255,0.008571483349622213,0.11135042432921693,-0.018778924884300552,1.2056081970831207,473485500.0,525.0,0.0,0
KOBX,0.3659560723514212,0.008325633619121612,0.239678576204855,-0.0007099391480730466,0.5005381529780716,385624550.0,177.0,0.0,1
PNLF,0.36563307493540054,0.015394745798231194,0.009284580098799733,-0.10222457627118686,16.032866659449034,4704220100.0,210.0,-0.045454545454545414,0
LABA,0.3653100775193798,0.04466986578215984,0.07649265721906229,-0.040404040404040664,0.21312668462608356,4700505250.0,124.0,-0.015873015873015928,0
GHON,0.3653100775193798,0.009402743032344186,0.07207509218907115,0.03144654088050336,0.7896746839586614,16038250.0,1640.0,-0.012048192771084376,0
